Metric,Value
Total records,501
HIV status: yes,501
HIV status: no,0
ART status: yes,0
ART status: no,0
Country ISO (HIV positive),Count
Country ISO: EG,46
Country ISO: GH,56
Country ISO: KE,48
Country ISO: NG,43
Country ISO: RW,55
Country ISO: RW8b8014da-65f7-4420-a49a-e9ff95ef3a6a,1
Country ISO: SD,55
Country ISO: SN,48
Country ISO: TZ,60
Country ISO: UG,49
Country ISO: ZA,40
Country ISO,Average Lifespan (years)
SN,9.91632
EG,8.25391
RW,10.3643
SD,10.8867
UG,12.2482
TZ,485.338
KE,12.9274
NG,17.5781
ZA,12.442
GH,11.6686
RW8b8014da-65f7-4420-a49a-e9ff95ef3a6a:1950-01-01:yes:2000-01-01:yes:2005-01-01:EG,0
